change_shpt,cost,customer_ID,policy,policy_change,time_diff
3,634,14981,1,1,21
5,703,261747,2,1,4
0,641,14987,3,0,2
0,664,14983,3,0,16
0,594,261745,1,0,0
0,717,261771,4,0,0
0,655,14963,3,0,4
0,619,261773,2,0,22
0,657,14965,3,0,1
0,619,261767,3,0,0
0,639,14959,2,0,1
0,588,14971,3,0,0
0,580,14973,1,0,4
0,571,14967,3,0,5
0,607,261725,3,0,0
0,665,261721,3,0,23
0,670,261719,3,0,3
0,644,261717,3,0,22
0,748,14957,3,0,4
0,588,261713,2,0,0
0,580,261711,1,0,0
0,664,14951,3,0,2
5,599,261741,2,1,1
0,621,14933,1,0,2
0,611,261739,4,0,22
0,727,261737,1,0,0
0,586,261729,1,0,4
0,680,261727,3,0,0
0,570,261815,1,0,0
0,677,261817,3,0,6
0,706,261819,3,0,6
0,599,15045,1,0,1
0,666,261809,1,0,0
0,618,15049,2,0,0
0,613,15051,4,0,0
0,641,15053,4,0,0
4,629,261831,2,1,20
0,616,15023,3,0,3
0,611,261833,2,0,4
0,662,261835,3,0,19
0,603,15027,1,0,0
0,654,261837,1,0,0
0,641,261823,3,0,0
0,656,15031,3,0,1
0,591,261825,3,0,3
0,630,15035,2,0,0
0,654,261829,3,0,0
0,698,15037,3,0,0
0,645,261785,3,0,20
0,659,15009,2,0,0
0,598,261789,2,0,0
3,688,15013,2,1,18
0,671,261787,1,0,19
0,632,15011,2,0,4
2,635,261777,2,1,0
0,704,15017,1,0,4
2,656,261775,2,1,1
0,622,15015,1,0,1
0,642,261779,3,0,15
0,650,261801,2,0,1
5,612,14993,4,1,1
0,616,14997,3,0,0
0,633,261803,2,0,0
0,630,15001,1,0,0
0,729,15005,1,0,3
0,607,15003,3,0,2
0,653,14859,1,0,22
0,677,261615,2,0,0
0,673,261623,2,0,0
0,647,14847,3,0,0
0,642,14843,1,0,0
0,569,14845,1,0,0
0,726,261631,3,0,23
0,609,261633,3,0,5
0,737,14841,1,0,0
0,642,14829,2,0,0
0,670,261587,3,0,0
0,661,261585,1,0,1
0,668,261583,2,0,0
0,630,261595,3,0,1
7,638,14819,3,1,1
0,645,261593,1,0,0
0,651,14817,3,0,0
0,655,261591,1,0,0
0,635,261605,3,0,0
0,653,14813,4,0,1
0,544,261603,3,0,0
0,618,14811,3,0,18
0,623,14809,4,0,3
0,621,261599,2,0,1
3,624,14807,1,1,1
0,637,14805,1,0,0
0,608,261611,3,0,23
0,625,261609,3,0,0
0,631,261607,3,0,5
0,638,14799,2,0,3
0,642,261679,1,0,3
0,643,261681,2,0,6
0,625,14921,2,0,7
0,673,261683,1,0,18
4,661,14923,2,1,23
0,603,261685,2,0,21
0,628,14925,3,0,1
0,655,261687,2,0,1
0,643,261689,2,0,20
0,567,14913,1,0,0
0,629,261691,1,0,0
0,633,261693,3,0,0
0,677,14917,3,0,0
0,636,261695,1,0,0
0,710,14905,2,0,0
0,629,261699,2,0,0
0,684,14907,2,0,1
0,664,261705,3,0,0
0,647,14897,1,0,5
0,621,261707,2,0,1
0,615,14899,2,0,23
0,623,261709,3,0,20
0,707,14889,3,0,0
2,687,261653,3,1,6
8,639,14891,3,1,5
0,635,14879,2,0,0
4,665,261661,2,1,20
0,643,14885,1,0,23
0,683,261659,2,0,0
0,665,261663,3,0,2
0,623,261667,4,0,0
0,673,14865,2,0,0
0,636,14863,1,0,0
0,600,261677,1,0,1
0,739,14869,1,0,1
0,678,14867,3,0,2
0,626,262029,3,0,21
0,647,262027,3,0,0
0,620,15219,2,0,16
0,564,15227,3,0,23
0,596,262017,2,0,23
0,712,262013,1,0,4
0,670,262003,3,0,20
0,689,15243,1,0,0
0,670,261997,3,0,0
0,615,15183,2,0,2
0,686,261979,1,0,3
0,593,261981,2,0,21
0,554,15205,2,0,1
0,658,15211,3,0,22
0,671,15207,1,0,0
0,625,15209,3,0,23
0,659,262089,2,0,2
0,559,262091,1,0,0
0,589,15283,1,0,5
0,609,15289,1,0,0
0,654,262079,2,0,0
0,630,15297,3,0,17
4,683,15301,3,1,0
0,569,262075,3,0,6
0,693,262065,2,0,0
0,630,15305,2,0,1
0,653,15309,1,0,0
0,657,262055,3,0,0
0,650,15247,3,0,4
0,671,262057,1,0,0
0,560,262059,1,0,23
0,707,15253,3,0,0
0,707,15257,2,0,1
0,643,262051,3,0,21
0,636,262053,2,0,1
0,630,262043,2,0,5
0,697,262045,2,0,0
0,675,15269,2,0,2
0,670,262033,3,0,3
0,769,15101,3,0,0
0,613,261891,1,0,1
0,638,15099,3,0,0
0,651,261887,3,0,6
0,669,15117,2,0,6
0,635,261875,2,0,3
0,607,15115,3,0,5
0,665,15113,1,0,21
0,603,261871,1,0,1
0,590,261885,1,0,0
0,649,15109,2,0,0
6,636,261883,3,1,3
0,679,261879,2,0,18
0,670,15103,3,0,19
0,614,261855,3,0,18
0,603,15063,2,0,20
0,598,15059,2,0,21
0,719,261869,3,0,6
0,811,15061,1,0,2
0,639,261863,2,0,3
0,664,15055,3,0,0
5,582,261865,3,1,22
0,695,261843,2,0,0
0,661,15083,2,0,6
0,667,261839,3,0,0
0,615,261841,3,0,0
0,662,15075,1,0,3
0,666,15071,1,0,4
0,631,15161,1,0,18
0,595,15165,3,0,20
0,697,261955,1,0,2
0,513,15163,1,0,0
0,600,261963,3,0,0
4,630,15155,3,1,0
0,624,15175,3,0,6
0,665,15179,3,0,1
0,645,261945,3,0,1
0,681,261949,3,0,1
4,659,15173,1,1,22
0,618,261919,4,0,0
0,650,15129,3,0,21
0,599,15131,1,0,0
0,654,261925,3,0,0
0,690,15133,1,0,3
0,649,261927,4,0,20
0,667,15119,2,0,21
0,588,15121,3,0,0
0,706,261931,3,0,5
0,680,15123,2,0,0
0,678,15125,3,0,0
0,644,261907,3,0,1
3,682,261909,3,1,5
0,655,261915,3,0,2
0,725,15139,4,0,1
0,581,15141,2,0,3
0,692,261213,3,0,4
0,551,14437,3,0,5
0,655,261211,3,0,0
0,617,261199,3,0,0
0,616,14439,1,0,2
0,579,261205,1,0,18
0,756,14445,2,0,1
0,615,14443,1,0,3
0,628,261225,3,0,0
0,567,261215,1,0,0
0,644,14429,2,0,19
0,695,261241,3,0,0
2,634,14465,3,1,4
0,681,261243,2,0,2
0,637,261245,1,0,0
0,628,261231,3,0,0
0,625,261233,3,0,19
0,648,14473,1,0,0
0,571,14475,1,0,5
0,698,261237,1,0,0
0,655,261255,3,0,4
0,667,14451,1,0,18
0,602,14455,1,0,18
0,649,261251,3,0,0
0,665,261275,2,0,0
0,649,14499,4,0,0
0,679,14497,2,0,1
0,673,261271,3,0,0
0,677,261269,2,0,21
0,628,261267,3,0,1
0,614,14503,3,0,23
0,656,261293,1,0,0
0,689,14485,3,0,0
0,630,261291,1,0,19
0,634,14483,3,0,22
2,603,261283,2,1,21
0,648,14489,3,0,5
0,621,261279,1,0,0
0,673,14487,1,0,1
0,642,261307,1,0,17
0,617,14529,3,0,1
0,614,14539,2,0,0
0,616,14535,2,0,2
0,617,261323,4,0,6
0,600,14513,3,0,0
0,600,261315,2,0,2
0,600,14523,4,0,0
0,649,261311,3,0,0
0,651,261313,1,0,1
0,588,14313,1,0,2
0,642,261071,4,0,23
0,705,14311,2,0,20
0,636,14303,2,0,0
0,598,261085,1,0,0
0,635,14309,2,0,0
0,675,14297,3,0,23
0,652,261093,2,0,0
0,610,261091,2,0,0
0,661,14299,1,0,1
0,570,14289,1,0,4
0,619,261095,3,0,0
0,642,14287,1,0,0
0,660,14291,1,0,0
0,679,14343,3,0,19
0,584,14345,3,0,1
0,679,261107,3,0,22
0,599,261109,4,0,22
2,517,14349,1,1,6
8,663,261111,3,1,5
0,613,14337,4,0,0
0,609,14341,1,0,0
0,638,14327,3,0,18
0,561,261121,1,0,2
0,636,14329,2,0,21
0,647,14333,1,0,4
0,663,14319,3,0,0
0,625,261139,4,0,3
0,632,14379,3,0,0
0,616,261135,1,0,20
0,647,14373,2,0,4
2,562,14371,1,1,4
0,646,261145,3,0,2
0,599,14369,2,0,3
0,628,14365,3,0,1
0,550,14363,1,0,6
0,633,261151,3,0,0
0,640,14357,1,0,1
0,631,261163,3,0,0
0,635,14355,2,0,0
0,612,261161,1,0,5
0,630,261179,3,0,22
0,604,14403,3,0,1
